### NIRSPEC Brown Dwarf Spectroscopic Survey (BDSS)
### McLean et al. 2007, ApJ, 658. 1217
### Please cite the above reference if you use  
### or display this data in your publication.
###     2MASS 0036 -- NIRSPEC-3 Filter, dispersion order 62
### lambda (microns)   Flambda (Normalized)
       1.2208438      0.81223873
       1.2208613      0.79836041
       1.2208788      0.80147617
       1.2208963      0.79170832
       1.2209139      0.79341248
       1.2209314      0.75789201
       1.2209489      0.78597414
       1.2209664      0.80064969
       1.2209840      0.79170466
       1.2210014      0.80590115
       1.2210189      0.81557392
       1.2210364      0.83593246
       1.2210539      0.84731671
       1.2210715      0.84627812
       1.2210890      0.88039796
       1.2211065      0.90393809
       1.2211240      0.91016963
       1.2211414      0.90191577
       1.2211590      0.89093013
       1.2211765      0.89407150
       1.2211940      0.87010715
       1.2212115      0.86600400
       1.2212291      0.83732212
       1.2212466      0.81220216
       1.2212641      0.80830014
       1.2212816      0.79789231
       1.2212990      0.73608493
       1.2213166      0.69749294
       1.2213341      0.70158366
       1.2213516      0.71598128
       1.2213691      0.68581357
       1.2213866      0.66085598
       1.2214042      0.63136298
       1.2214217      0.61610487
       1.2214392      0.60553869
       1.2214566      0.59776975
       1.2214741      0.59906213
       1.2214917      0.58392726
       1.2215092      0.58832444
       1.2215267      0.57636019
       1.2215442      0.59417784
       1.2215618      0.61719612
       1.2215793      0.61702533
       1.2215967      0.64260753
       1.2216142      0.65900627
       1.2216317      0.67093980
       1.2216493      0.65500075
       1.2216668      0.63576967
       1.2216843      0.65735330
       1.2217018      0.70210332
       1.2217194      0.74520952
       1.2217369      0.77544928
       1.2217543      0.79785574
       1.2217718      0.78150893
       1.2217893      0.77027828
       1.2218069      0.75795418
       1.2218244      0.76602518
       1.2218419      0.74990511
       1.2218594      0.73247766
       1.2218770      0.71368871
       1.2218945      0.69599832
       1.2219119      0.68322587
       1.2219294      0.67942734
       1.2219469      0.65508450
       1.2219645      0.64664670
       1.2219820      0.62644285
       1.2219994      0.63113478
       1.2220169      0.63170345
       1.2220344      0.63638588
       1.2220519      0.64276076
       1.2220694      0.65896239
       1.2220869      0.66309078
       1.2221044      0.68188814
       1.2221219      0.70904761
       1.2221395      0.71352670
       1.2221570      0.73065757
       1.2221745      0.72426184
       1.2221920      0.73482399
       1.2222094      0.73252886
       1.2222270      0.74307383
       1.2222445      0.74857762
       1.2222620      0.73561354
       1.2222795      0.74771091
       1.2222971      0.74552402
       1.2223146      0.75697410
       1.2223321      0.76512556
       1.2223496      0.76845709
       1.2223670      0.77012834
       1.2223846      0.76161484
       1.2224021      0.66170916
       1.2224196      0.74563007
       1.2224371      0.74390031
       1.2224547      0.71983650
       1.2224722      0.69802613
       1.2224897      0.65727248
       1.2225071      0.60873747
       1.2225246      0.57640553
       1.2225422      0.55564509
       1.2225597      0.57293870
       1.2225772      0.59557957
       1.2225947      0.61173767
       1.2226123      0.63005048
       1.2226298      0.62646625
       1.2226473      0.63518528
